Wed Apr 26 2023 00:04:40 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Wed Apr 26 2023 00:04:40 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Wed Apr 26 2023 00:04:40 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Wed Apr 26 2023 00:04:40 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Wed Apr 26 2023 00:07:26 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Wed Apr 26 2023 00:07:26 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Wed Apr 26 2023 00:07:26 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Wed Apr 26 2023 00:07:26 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Wed Apr 26 2023 00:07:26 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Wed Apr 26 2023 00:07:26 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Wed Apr 26 2023 00:13:07 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Wed Apr 26 2023 00:13:07 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Wed Apr 26 2023 00:13:07 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Wed Apr 26 2023 00:13:07 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Wed Apr 26 2023 00:13:07 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Wed Apr 26 2023 00:13:08 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Wed Apr 26 2023 00:13:08 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Wed Apr 26 2023 00:13:08 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Wed Apr 26 2023 00:13:08 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Wed Apr 26 2023 00:13:08 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Wed Apr 26 2023 00:13:08 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Wed Apr 26 2023 00:13:08 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Wed Apr 26 2023 00:16:53 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Wed Apr 26 2023 00:16:53 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Wed Apr 26 2023 00:16:53 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Wed Apr 26 2023 00:16:53 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Wed Apr 26 2023 00:16:53 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Wed Apr 26 2023 00:16:53 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Wed Apr 26 2023 00:27:21 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Wed Apr 26 2023 00:27:21 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Wed Apr 26 2023 00:27:21 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Wed Apr 26 2023 00:27:21 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Wed Apr 26 2023 00:27:21 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Wed Apr 26 2023 00:27:21 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Wed Apr 26 2023 00:34:43 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Wed Apr 26 2023 00:34:43 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Wed Apr 26 2023 00:34:43 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Wed Apr 26 2023 00:34:43 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Wed Apr 26 2023 00:34:43 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Wed Apr 26 2023 00:34:43 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Wed Apr 26 2023 00:41:25 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Wed Apr 26 2023 00:41:25 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Wed Apr 26 2023 00:41:25 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Wed Apr 26 2023 00:41:25 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Wed Apr 26 2023 00:41:25 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Wed Apr 26 2023 00:41:25 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Wed Apr 26 2023 00:41:38 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Wed Apr 26 2023 00:41:38 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Wed Apr 26 2023 00:41:38 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Wed Apr 26 2023 00:41:38 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Wed Apr 26 2023 00:41:38 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
